      0: system.pc.south_bridge.cmos.rtc: Real-time clock set to Sun Jan  1 00:00:00 2012
  3635730230055   2    L0Cache              Ifetch      S>S      [0x1124f80, line 0x1124f80] 
  3635730230055   1        Seq                Done       >       [0x108db98, line 0x108db80] 2 cycles
  3635730230055   1    L0Cache              Ifetch      S>S      [0x108db80, line 0x108db80] 
  3635730230440   2        Seq               Begin       >       [0x235524d80, line 0x235524d80] LD
  3635730230440   1        Seq               Begin       >       [0x108dbf8, line 0x108dbc0] IFETCH
  3635730230825   4        Seq                Done       >       [0x111d9d0, line 0x111d9c0] 2 cycles
  3635730230825   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730230825   5        Seq                Done       >       [0x111dac0, line 0x111dac0] 2 cycles
  3635730230825   5    L0Cache              Ifetch      S>S      [0x111dac0, line 0x111dac0] 
  3635730230825   7        Seq                Done       >       [0x1118638, line 0x1118600] 2 cycles
  3635730230825   7    L0Cache              Ifetch      S>S      [0x1118600, line 0x1118600] 
  3635730231210   4        Seq               Begin       >       [0x111d9d0, line 0x111d9c0] IFETCH
  3635730231210   5        Seq               Begin       >       [0x111dac8, line 0x111dac0] IFETCH
  3635730231210   7        Seq               Begin       >       [0x1118678, line 0x1118640] IFETCH
  3635730231210   1        Seq                Done       >       [0x108dbf8, line 0x108dbc0] 2 cycles
  3635730231210   1    L0Cache              Ifetch      S>S      [0x108dbc0, line 0x108dbc0] 
  3635730231210   2        Seq                Done       >       [0x235524d80, line 0x235524d80] 2 cycles
  3635730231210   2    L0Cache                Load      M>M      [0x235524d80, line 0x235524d80] 
  3635730231595   1        Seq               Begin       >       [0x23559acd8, line 0x23559acc0] LD
  3635730231595   2        Seq               Begin       >       [0x1124fb0, line 0x1124f80] IFETCH
  3635730231980   7        Seq                Done       >       [0x1118678, line 0x1118640] 2 cycles
  3635730231980   7    L0Cache              Ifetch      S>S      [0x1118640, line 0x1118640] 
  3635730231980   5        Seq                Done       >       [0x111dac8, line 0x111dac0] 2 cycles
  3635730231980   5    L0Cache              Ifetch      S>S      [0x111dac0, line 0x111dac0] 
  3635730231980   4        Seq                Done       >       [0x111d9d0, line 0x111d9c0] 2 cycles
  3635730231980   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730232365   7        Seq               Begin       >       [0x1118678, line 0x1118640] IFETCH
  3635730232365   5        Seq               Begin       >       [0x2355d7ce8, line 0x2355d7cc0] ST
  3635730232365   4        Seq               Begin       >       [0x111d9d8, line 0x111d9c0] IFETCH
  3635730232365   2        Seq                Done       >       [0x1124fb0, line 0x1124f80] 2 cycles
  3635730232365   2    L0Cache              Ifetch      S>S      [0x1124f80, line 0x1124f80] 
  3635730232365   1        Seq                Done       >       [0x23559acd8, line 0x23559acc0] 2 cycles
  3635730232365   1    L0Cache                Load      M>M      [0x23559acc0, line 0x23559acc0] 
  3635730232750   2        Seq               Begin       >       [0x235524d88, line 0x235524d80] LD
  3635730232750   1        Seq               Begin       >       [0x1522ab0, line 0x1522a80] IFETCH
  3635730233135   4        Seq                Done       >       [0x111d9d8, line 0x111d9c0] 2 cycles
  3635730233135   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730233135   5        Seq                Done       >       [0x2355d7ce8, line 0x2355d7cc0] 2 cycles
  3635730233135   5    L0Cache               Store      M>M      [0x2355d7cc0, line 0x2355d7cc0] 
  3635730233135   7        Seq                Done       >       [0x1118678, line 0x1118640] 2 cycles
  3635730233135   7    L0Cache              Ifetch      S>S      [0x1118640, line 0x1118640] 
  3635730233520   4        Seq               Begin       >       [0x235612d68, line 0x235612d40] LD
  3635730233520   5        Seq               Begin       >       [0x111d3e8, line 0x111d3c0] IFETCH
  3635730233520   7        Seq               Begin       >       [0x11186a8, line 0x1118680] IFETCH
  3635730233520   1        Seq                Done       >       [0x1522ab0, line 0x1522a80] 2 cycles
  3635730233520   1    L0Cache              Ifetch      S>S      [0x1522a80, line 0x1522a80] 
  3635730233520   2        Seq                Done       >       [0x235524d88, line 0x235524d80] 2 cycles
  3635730233520   2    L0Cache                Load      M>M      [0x235524d80, line 0x235524d80] 
  3635730233905   1        Seq               Begin       >       [0x1522ab0, line 0x1522a80] IFETCH
  3635730233905   2        Seq               Begin       >       [0x1124fb0, line 0x1124f80] IFETCH
  3635730234290   7        Seq                Done       >       [0x11186a8, line 0x1118680] 2 cycles
  3635730234290   7    L0Cache              Ifetch      S>S      [0x1118680, line 0x1118680] 
  3635730234290   5        Seq                Done       >       [0x111d3e8, line 0x111d3c0] 2 cycles
  3635730234290   5    L0Cache              Ifetch      S>S      [0x111d3c0, line 0x111d3c0] 
  3635730234290   4        Seq                Done       >       [0x235612d68, line 0x235612d40] 2 cycles
  3635730234290   4    L0Cache                Load      M>M      [0x235612d40, line 0x235612d40] 
  3635730234500   6    L1Cache    Writeback_Ack_SU     SI>I      [0x107a700, line 0x107a700] 
  3635730234500   6    L1Cache      Data_Exclusive     IS>E      [0x2354f2700, line 0x2354f2700] 
  3635730234675   7        Seq               Begin       >       [0x11186b0, line 0x1118680] IFETCH
  3635730234675   5        Seq               Begin       >       [0x111d3e8, line 0x111d3c0] IFETCH
  3635730234675   4        Seq               Begin       >       [0x111d9d8, line 0x111d9c0] IFETCH
  3635730234675   2        Seq                Done       >       [0x1124fb0, line 0x1124f80] 2 cycles
  3635730234675   2    L0Cache              Ifetch      S>S      [0x1124f80, line 0x1124f80] 
  3635730234675   1        Seq                Done       >       [0x1522ab0, line 0x1522a80] 2 cycles
  3635730234675   1    L0Cache              Ifetch      S>S      [0x1522a80, line 0x1522a80] 
  3635730235060   2        Seq               Begin       >       [0x235524d90, line 0x235524d80] LD
  3635730235060   1        Seq               Begin       >       [0x23559ace0, line 0x23559acc0] LD
  3635730235445   4        Seq                Done       >       [0x111d9d8, line 0x111d9c0] 2 cycles
  3635730235445   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730235445   5        Seq                Done       >       [0x111d3e8, line 0x111d3c0] 2 cycles
  3635730235445   5    L0Cache              Ifetch      S>S      [0x111d3c0, line 0x111d3c0] 
  3635730235445   7        Seq                Done       >       [0x11186b0, line 0x1118680] 2 cycles
  3635730235445   7    L0Cache              Ifetch      S>S      [0x1118680, line 0x1118680] 
  3635730235830   4        Seq               Begin       >       [0x111d9d8, line 0x111d9c0] IFETCH
  3635730235830   5        Seq               Begin       >       [0x2355d7ce0, line 0x2355d7cc0] ST
  3635730235830   7        Seq               Begin       >       [0x23561f1d8, line 0x23561f1c0] LD
  3635730235830   1        Seq                Done       >       [0x23559ace0, line 0x23559acc0] 2 cycles
  3635730235830   1    L0Cache                Load      M>M      [0x23559acc0, line 0x23559acc0] 
  3635730235830   2        Seq                Done       >       [0x235524d90, line 0x235524d80] 2 cycles
  3635730235830   2    L0Cache                Load      M>M      [0x235524d80, line 0x235524d80] 
  3635730236215   1        Seq               Begin       >       [0x1522ab8, line 0x1522a80] IFETCH
  3635730236215   2        Seq               Begin       >       [0x1124fb0, line 0x1124f80] IFETCH
  3635730236600   7    L0Cache      L0_Replacement      E>I      [0x2356771c0, line 0x2356771c0] 
  3635730236600   7    L0Cache                Load      I>IS     [0x23561f1c0, line 0x23561f1c0] 
  3635730236600   5        Seq                Done       >       [0x2355d7ce0, line 0x2355d7cc0] 2 cycles
  3635730236600   5    L0Cache               Store      M>M      [0x2355d7cc0, line 0x2355d7cc0] 
  3635730236600   4        Seq                Done       >       [0x111d9d8, line 0x111d9c0] 2 cycles
  3635730236600   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730236600   6        Seq                Done       >       [0x2354f2700, line 0x2354f2700] 48 cycles
  3635730236600   6    L0Cache      Exclusive_Data     IS>E_W    [0x2354f2700, line 0x2354f2700] 
  3635730236985   5        Seq               Begin       >       [0x111d3e8, line 0x111d3c0] IFETCH
  3635730236985   4        Seq               Begin       >       [0x111d9e0, line 0x111d9c0] IFETCH
  3635730236985   6        Seq               Begin       >       [0x111da98, line 0x111da80] IFETCH
  3635730236985   2        Seq                Done       >       [0x1124fb0, line 0x1124f80] 2 cycles
  3635730236985   2    L0Cache              Ifetch      S>S      [0x1124f80, line 0x1124f80] 
  3635730236985   1        Seq                Done       >       [0x1522ab8, line 0x1522a80] 2 cycles
  3635730236985   1    L0Cache              Ifetch      S>S      [0x1522a80, line 0x1522a80] 
  3635730237370   2        Seq               Begin       >       [0x1124fb8, line 0x1124f80] IFETCH
  3635730237370   1        Seq               Begin       >       [0x23559ace8, line 0x23559acc0] LD
  3635730237755   6        Seq                Done       >       [0x111da98, line 0x111da80] 2 cycles
  3635730237755   6    L0Cache              Ifetch      S>S      [0x111da80, line 0x111da80] 
  3635730237755   4        Seq                Done       >       [0x111d9e0, line 0x111d9c0] 2 cycles
  3635730237755   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730237755   5        Seq                Done       >       [0x111d3e8, line 0x111d3c0] 2 cycles
  3635730237755   5    L0Cache              Ifetch      S>S      [0x111d3c0, line 0x111d3c0] 
  3635730238140   6        Seq               Begin       >       [0x111daa0, line 0x111da80] IFETCH
  3635730238140   4        Seq               Begin       >       [0x111d9e0, line 0x111d9c0] IFETCH
  3635730238140   5        Seq               Begin       >       [0x111d3f0, line 0x111d3c0] IFETCH
  3635730238140   1        Seq                Done       >       [0x23559ace8, line 0x23559acc0] 2 cycles
  3635730238140   1    L0Cache                Load      M>M      [0x23559acc0, line 0x23559acc0] 
  3635730238140   2        Seq                Done       >       [0x1124fb8, line 0x1124f80] 2 cycles
  3635730238140   2    L0Cache              Ifetch      S>S      [0x1124f80, line 0x1124f80] 
  3635730238500   7    L1Cache           WriteBack      E>MM     [0x2356771c0, line 0x2356771c0] 
  3635730238500   7    L1Cache                Load      I>IS     [0x23561f1c0, line 0x23561f1c0] 
  3635730238525   1        Seq               Begin       >       [0x111deb8, line 0x111de80] IFETCH
  3635730238525   2        Seq               Begin       >       [0x235524d98, line 0x235524d80] LD
  3635730238910   5        Seq                Done       >       [0x111d3f0, line 0x111d3c0] 2 cycles
  3635730238910   5    L0Cache              Ifetch      S>S      [0x111d3c0, line 0x111d3c0] 
  3635730238910   4        Seq                Done       >       [0x111d9e0, line 0x111d9c0] 2 cycles
  3635730238910   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730238910   6        Seq                Done       >       [0x111daa0, line 0x111da80] 2 cycles
  3635730238910   6    L0Cache              Ifetch      S>S      [0x111da80, line 0x111da80] 
  3635730239295   5        Seq               Begin       >       [0x111d3f0, line 0x111d3c0] IFETCH
  3635730239295   4        Seq               Begin       >       [0x111d9e0, line 0x111d9c0] IFETCH
  3635730239295   6        Seq               Begin       >       [0x111daa0, line 0x111da80] IFETCH
  3635730239295   2        Seq                Done       >       [0x235524d98, line 0x235524d80] 2 cycles
  3635730239295   2    L0Cache                Load      M>M      [0x235524d80, line 0x235524d80] 
  3635730239295   1        Seq                Done       >       [0x111deb8, line 0x111de80] 2 cycles
  3635730239295   1    L0Cache              Ifetch      S>S      [0x111de80, line 0x111de80] 
  3635730239500   4    L2Cache   Exclusive_Unblock     OO>ILX    [0x2354f2700, line 0x2354f2700] 
  3635730239680   2        Seq               Begin       >       [0x1124fb8, line 0x1124f80] IFETCH
  3635730239680   1        Seq               Begin       >       [0x111dec0, line 0x111dec0] IFETCH
  3635730240065   6        Seq                Done       >       [0x111daa0, line 0x111da80] 2 cycles
  3635730240065   6    L0Cache              Ifetch      S>S      [0x111da80, line 0x111da80] 
  3635730240065   4        Seq                Done       >       [0x111d9e0, line 0x111d9c0] 2 cycles
  3635730240065   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730240065   5        Seq                Done       >       [0x111d3f0, line 0x111d3c0] 2 cycles
  3635730240065   5    L0Cache              Ifetch      S>S      [0x111d3c0, line 0x111d3c0] 
  3635730240450   6        Seq               Begin       >       [0x111daa8, line 0x111da80] IFETCH
  3635730240450   4        Seq               Begin       >       [0x111d9e8, line 0x111d9c0] IFETCH
  3635730240450   5        Seq               Begin       >       [0x111d3f0, line 0x111d3c0] IFETCH
  3635730240450   1        Seq                Done       >       [0x111dec0, line 0x111dec0] 2 cycles
  3635730240450   1    L0Cache              Ifetch      S>S      [0x111dec0, line 0x111dec0] 
  3635730240450   2        Seq                Done       >       [0x1124fb8, line 0x1124f80] 2 cycles
  3635730240450   2    L0Cache              Ifetch      S>S      [0x1124f80, line 0x1124f80] 
  3635730240500   3  Directory   Memory_Data_Cache   IS_M>IS     [0x2356b0340, line 0x2356b0340] 
  3635730240835   1        Seq               Begin       >       [0x23559acf0, line 0x23559acc0] LD
  3635730240835   2        Seq               Begin       >       [0x107a650, line 0x107a640] IFETCH
  3635730241220   5        Seq                Done       >       [0x111d3f0, line 0x111d3c0] 2 cycles
  3635730241220   5    L0Cache              Ifetch      S>S      [0x111d3c0, line 0x111d3c0] 
  3635730241220   4        Seq                Done       >       [0x111d9e8, line 0x111d9c0] 2 cycles
  3635730241220   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730241220   6        Seq                Done       >       [0x111daa8, line 0x111da80] 2 cycles
  3635730241220   6    L0Cache              Ifetch      S>S      [0x111da80, line 0x111da80] 
  3635730241605   5        Seq               Begin       >       [0x111d3f8, line 0x111d3c0] IFETCH
  3635730241605   4        Seq               Begin       >       [0x235612d60, line 0x235612d40] LD
  3635730241605   6        Seq               Begin       >       [0x111dd90, line 0x111dd80] IFETCH
  3635730241605   2        Seq                Done       >       [0x107a650, line 0x107a640] 2 cycles
  3635730241605   2    L0Cache              Ifetch      S>S      [0x107a640, line 0x107a640] 
  3635730241605   1        Seq                Done       >       [0x23559acf0, line 0x23559acc0] 2 cycles
  3635730241605   1    L0Cache                Load      M>M      [0x23559acc0, line 0x23559acc0] 
  3635730241990   2        Seq               Begin       >       [0x235cac490, line 0x235cac480] ST
  3635730241990   1        Seq               Begin       >       [0x111dec0, line 0x111dec0] IFETCH
  3635730242375   6        Seq                Done       >       [0x111dd90, line 0x111dd80] 2 cycles
  3635730242375   6    L0Cache              Ifetch      S>S      [0x111dd80, line 0x111dd80] 
  3635730242375   4        Seq                Done       >       [0x235612d60, line 0x235612d40] 2 cycles
  3635730242375   4    L0Cache                Load      M>M      [0x235612d40, line 0x235612d40] 
  3635730242375   5        Seq                Done       >       [0x111d3f8, line 0x111d3c0] 2 cycles
  3635730242375   5    L0Cache              Ifetch      S>S      [0x111d3c0, line 0x111d3c0] 
3635730242500: system.ruby.l2_cntrl7: MOESI_NINE_three_level-L2cache-SF.sm:1640: ILX
3635730242500: system.ruby.l2_cntrl7: MOESI_NINE_three_level-L2cache-SF.sm:1646: 0x23561f1c0
  3635730242500   7    L2Cache             L1_GETS    ILX>IFLOXX [0x23561f1c0, line 0x23561f1c0] 
  3635730242760   6        Seq               Begin       >       [0x2356fbd10, line 0x2356fbd00] ST
  3635730242760   4        Seq               Begin       >       [0x111d9e8, line 0x111d9c0] IFETCH
  3635730242760   5        Seq               Begin       >       [0x111d3f8, line 0x111d3c0] IFETCH
  3635730242760   1        Seq                Done       >       [0x111dec0, line 0x111dec0] 2 cycles
  3635730242760   1    L0Cache              Ifetch      S>S      [0x111dec0, line 0x111dec0] 
  3635730242760   2        Seq                Done       >       [0x235cac490, line 0x235cac480] 2 cycles
  3635730242760   2    L0Cache               Store      M>M      [0x235cac480, line 0x235cac480] 
  3635730243000   5    L2Cache                Data    IGS>IGS    [0x2356b0340, line 0x2356b0340] Directory-3
  3635730243145   1        Seq               Begin       >       [0x111dec8, line 0x111dec0] IFETCH
  3635730243145   2        Seq               Begin       >       [0x107a658, line 0x107a640] IFETCH
  3635730243530   5        Seq                Done       >       [0x111d3f8, line 0x111d3c0] 2 cycles
  3635730243530   5    L0Cache              Ifetch      S>S      [0x111d3c0, line 0x111d3c0] 
  3635730243530   4        Seq                Done       >       [0x111d9e8, line 0x111d9c0] 2 cycles
  3635730243530   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730243530   6        Seq                Done       >       [0x2356fbd10, line 0x2356fbd00] 2 cycles
  3635730243530   6    L0Cache               Store      M>M      [0x2356fbd00, line 0x2356fbd00] 
  3635730243915   5        Seq               Begin       >       [0x111d3f8, line 0x111d3c0] IFETCH
  3635730243915   4        Seq               Begin       >       [0x111d9e8, line 0x111d9c0] IFETCH
  3635730243915   6        Seq               Begin       >       [0x2356fbd10, line 0x2356fbd00] ST
  3635730243915   2        Seq                Done       >       [0x107a658, line 0x107a640] 2 cycles
  3635730243915   2    L0Cache              Ifetch      S>S      [0x107a640, line 0x107a640] 
  3635730243915   1        Seq                Done       >       [0x111dec8, line 0x111dec0] 2 cycles
  3635730243915   1    L0Cache              Ifetch      S>S      [0x111dec0, line 0x111dec0] 
  3635730244300   2        Seq               Begin       >       [0x107a658, line 0x107a640] IFETCH
  3635730244300   1        Seq               Begin       >       [0x23559ad00, line 0x23559ad00] ST
  3635730244685   6        Seq                Done       >       [0x2356fbd10, line 0x2356fbd00] 2 cycles
  3635730244685   6    L0Cache               Store      M>M      [0x2356fbd00, line 0x2356fbd00] 
  3635730244685   4        Seq                Done       >       [0x111d9e8, line 0x111d9c0] 2 cycles
  3635730244685   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
